timestamp,NO2,month,day,hour
448950,-0.04343408010008513,3,20,6
448951,0.008402868898079384,3,20,7
448952,0.021362106147620512,3,20,8
448953,-0.021835351350849908,3,20,9
448954,-0.03047484285054399,3,20,10
448955,-0.03047484285054399,3,20,11
448956,-0.04343408010008513,3,20,12
448957,-0.05207357159977921,3,20,13
448958,-0.047753825849932166,3,20,14
448959,-0.05639331734962625,3,20,15
448960,-0.05207357159977921,3,20,16
448961,-0.047753825849932166,3,20,17
448962,-0.03911433435023808,3,20,18
448963,-0.02615509710069695,3,20,19
448964,0.03864108914700868,3,20,20
448965,0.09479778389502024,3,20,21
448966,0.05592007214639684,3,20,22
448967,0.008402868898079384,3,20,23
448968,-0.04010052437547183,3,21,0
448969,-0.08329798187394223,3,21,1
448970,-0.08329798187394223,3,21,2
448971,-0.08329798187394223,3,21,3
448972,-0.08329798187394223,3,21,4
448973,-0.08329798187394223,3,21,5
448974,-0.07465849037424817,3,21,6
448975,-0.04442027012531887,3,21,7
448976,-0.07465849037424817,3,21,8
448977,-0.07465849037424817,3,21,9
448978,-0.0789782361240952,3,21,10
448979,-0.0789782361240952,3,21,11
448980,-0.06169925312470704,3,21,12
448981,-0.07465849037424817,3,21,13
448982,-0.0789782361240952,3,21,14
448983,-0.0789782361240952,3,21,15
448984,-0.08329798187394223,3,21,16
448985,-0.06601899887455408,3,21,17
448986,-0.03578077862562479,3,21,18
448987,-0.04010052437547183,3,21,19
448988,-0.00986230412654254,3,21,20
448989,0.020375916122386754,3,21,21
448990,0.03765489912177492,3,21,22
448991,0.0894918481199394,3,21,23
448992,0.020143165217825852,3,22,0
448993,-0.066251749779115,3,22,1
448994,-0.07489124127880907,3,22,2
448995,-0.10080971577789136,3,22,3
448996,-0.14400717327636176,3,22,4
448997,-0.1396874275265147,3,22,5
448998,-0.09217022427819727,3,22,6
448999,-0.053292512529573864,3,22,7
449000,-0.07057149552896202,3,22,8
449001,-0.1051294615277384,3,22,9
449002,-0.11808869877727952,3,22,10
449003,-0.11808869877727952,3,22,11
449004,-0.11808869877727952,3,22,12
449005,-0.09217022427819727,3,22,13
449006,-0.12240844452712657,3,22,14
449007,-0.13104793602682066,3,22,15
